RTM_ID,Objective_ID,Requirement_ID,Requirement_Type,Business_Rule_ID,User_Story_ID,Acceptance_Criteria_ID,Test_Case_ID,Test_Case_Description,Metric_ID,Priority,Release,Owner,Status,Gap_Notes
"RTM-001","","FR-PROJ-001","FR","BR-PROJ-01","US-001","","TC-PROJ-001","Verify view switching between Kanban and Table renders in < 1s","","P0","Phase 1","TBD","Gap","Legacy objective OB-Core is not defined in BRD; US-001 only partially covers view switching; AC ID missing"
"RTM-002","","FR-PROJ-002","FR","BR-PROJ-02","US-001","","TC-PROJ-002","Verify custom column creation and WIP limit boundary warnings","","P0","Phase 1","TBD","Draft","Legacy objective OB-Core is not defined in BRD; AC ID missing"
"RTM-003","","FR-PROJ-003","FR","BR-PROJ-03","US-001","","TC-PROJ-003","Verify custom field type validation for budget number and dropdown","","P0","Phase 1","TBD","Gap","Legacy objective OB-Core is not defined in BRD; US-001 does not explicitly cover custom fields; AC ID missing"
"RTM-004","","FR-PROJ-004","FR","BR-PROJ-04","US-002","","TC-PROJ-004","Verify Finish-to-Start dependency shifts downstream dates automatically","","P1","Phase 2","TBD","Draft","Legacy objective OB-Scheduling is not defined in BRD; AC ID missing"
"RTM-005","","FR-PROJ-005","FR","BR-PROJ-04","US-002","","TC-PROJ-005","Verify critical path highlights and circular dependency error detection","","P1","Phase 2","TBD","Draft","Legacy objective OB-Scheduling is not defined in BRD; AC ID missing"
"RTM-006","","FR-PROJ-006","FR","BR-PROJ-05","","","TC-PROJ-006","Verify Sprint container creation and burndown velocity calculations","PM-SCH-003","P1","Phase 2","TBD","Gap","BR-PROJ-05 is undefined; legacy US-002 is about Gantt and must not map to Scrum; velocity is informational only"
"RTM-007","OB-02","FR-CHAN-001","FR","BR-CHAN-01","US-003","","TC-CHAN-001","Verify incoming Telegram message ingestion latency < 2s","BIZ-CAP-001","P1","Phase 2","TBD","Draft","US-003 mapping is partial; AC ID and negative-path tests missing"
"RTM-008","OB-02","FR-CHAN-002","FR","BR-CHAN-01","US-003","","TC-CHAN-002","Verify Zalo OA webhook payload queues into message broker","BIZ-CAP-001","P2","Phase 3","TBD","Draft","US-003 mapping is partial; AC ID and negative-path tests missing"
"RTM-009","OB-02","FR-CHAN-003","FR","BR-CHAN-02","US-003","","TC-CHAN-003","Verify outbound reply dispatches back to original chat channel","","P1","Phase 2","TBD","Gap","BR-CHAN-02 is undefined; US-003 mapping is partial; AC ID missing"
"RTM-010","OB-01;OB-02","FR-CHAN-004","FR","BR-CHAN-03","US-003","","TC-CHAN-004","Verify 1-click conversion creates task with deep link to chat","BIZ-AUTO-001;BIZ-CAP-001","P1","Phase 2","TBD","Gap","BR-CHAN-03 is undefined; AC ID missing"
"RTM-011","OB-01","FR-AI-001","FR","BR-AI-01","US-004","","TC-AI-001","Verify NLP extraction parses Title Assignee Deadline and Checklist","BIZ-AUTO-001","P0","Phase 1","TBD","Draft","AC ID plus extraction accuracy and fallback tests missing"
"RTM-012","OB-01","FR-AI-002","FR","BR-AI-02","US-004","","TC-AI-002","Verify human-in-the-loop modal allows editing before board commit","BIZ-AUTO-001","P0","Phase 1","TBD","Draft","AC ID plus permission rejection and confirmation tests missing"
"RTM-013","OB-01","FR-AI-003","FR","BR-AI-01","US-004","","TC-AI-003","Verify voice note audio transcription feeds into task generator","","P2","Phase 4","TBD","Draft","Objective mapping preserved from legacy RTM; AC ID and transcription quality tests missing"
"RTM-014","OB-03","FR-AI-004","FR","BR-AI-03","US-005","","TC-AI-004","Verify hourly cron sends warning for task with < 30% progress at 36h","BIZ-EFF-001","P2","Phase 4","TBD","Gap","BR-AI-03 is undefined; AC ID and alert quality tests missing"
"RTM-015","OB-03","FR-AI-005","FR","BR-AI-04","US-005","","TC-AI-005","Verify 18:00 cron aggregates daily board transitions into chat summary","BIZ-EFF-001","P2","Phase 4","TBD","Gap","BR-AI-04 is undefined; AC ID and time-study baseline missing"
"RTM-016","OB-04","FR-KPI-001","FR","BR-KPI-01","US-006","","TC-KPI-001","Verify weighted score formula matches mathematical expectations","BIZ-KPI-001","P1","Phase 3","HR / Metric Owner","Draft","AC ID plus zero missing lower-is-better and cohort tests missing"
"RTM-017","OB-04","FR-KPI-002","FR","BR-KPI-02","US-006","","TC-KPI-002","Verify personal scorecard renders real-time achievement category breakdown","BIZ-KPI-001","P1","Phase 3","HR / Metric Owner","Gap","BR-KPI-02 is undefined; AC ID and privacy tests missing"
"RTM-018","OB-04","FR-KPI-003","FR","BR-KPI-03","US-006","","TC-KPI-003","Verify manager override generates immutable audit log record","BIZ-KPI-001","P1","Phase 3","HR","Gap","BR-KPI-03 is undefined; dedicated user story AC ID separation-of-duties and dispute tests missing"
"RTM-019","OB-05","FR-KPI-004","FR","BR-HRM-01","US-007","","TC-HRM-001","Verify HRM employee.created webhook provisions new OmniMer user","BIZ-HRM-001;BIZ-HRM-002","P2","Phase 4","HR Integration Owner","Draft","AC ID plus idempotency deactivate mapping and permission tests missing"
"RTM-020","OB-05","FR-KPI-005","FR","BR-HRM-02","US-007","","TC-HRM-002","Verify end-of-cycle export transmits encrypted payroll batch to HRM","BIZ-HRM-001;BIZ-HRM-002","P2","Phase 4","HR Integration Owner","Gap","BR-HRM-02 is undefined; AC ID plus retry and partial-batch tests missing"
"RTM-021","","NFR-001","NFR","","","","","","","","All","TBD","Gap","Performance test case and workload profile missing"
"RTM-022","OB-02","NFR-002","NFR","","","","","","BIZ-CAP-001","","Phase 2","TBD","Gap","Webhook end-to-end latency test and percentile definition missing"
"RTM-023","","NFR-003","NFR","","","","","","","","Phase 1","TBD","Gap","Browser/device dataset and render-time test missing"
"RTM-024","","NFR-004","NFR","","","","","","","","All","TBD","Gap","Availability SLI maintenance exclusions and measurement window missing"
"RTM-025","","NFR-005","NFR","","","","","","","","All","Security Owner","Gap","Encryption configuration secret-storage and rotation tests missing"
"RTM-026","","NFR-006","NFR","","","","","","","","All","Security Owner","Gap","Authorization matrix and negative permission tests missing"
"RTM-027","","NFR-007","NFR","","","","","","","","All","TBD","Gap","Load model environment and pass/fail test missing"
"RTM-028","","NFR-008","NFR","","","","","","","","All","QA Lead","Gap","Browser compatibility test suite missing"
"RTM-029","OB-04","NFR-009","NFR","","","","","","BIZ-KPI-001","","Phase 3","Audit / Security Owner","Gap","Immutability retention and audit completeness tests missing"
"RTM-030","OB-01","NFR-010","NFR","","US-004","","","","BIZ-AUTO-001","","Phase 1","AI Product Owner","Gap","Percentile workload timeout and fallback tests missing"
