Objective ID,FR ID,User Story ID,Test Case ID,Phase,Priority
OBJ-EXECUTION,FR-PRJ-001,US-PRJ-001,TC-PRJ-001,Phase 1,P0
OBJ-EXECUTION,FR-PRJ-003,US-PRJ-002,TC-PRJ-002,Phase 1,P1
OBJ-COMMUNICATION,FR-CHN-002,US-CHN-001,TC-CHN-001,Phase 1,P1
OBJ-AUTOMATION,FR-AGT-001,US-AGT-001,TC-AGT-001,Phase 1,P0
OBJ-PERFORMANCE,FR-KPI-001,US-KPI-001,TC-KPI-001,Phase 2,P0
OBJ-PERFORMANCE,FR-KPI-002,US-KPI-002,TC-KPI-002,Phase 2,P1
OBJ-RESOURCING,FR-RES-001,US-RES-001,TC-RES-001,Phase 2,P1
OBJ-FINANCIAL,FR-FIN-001,US-FIN-001,TC-FIN-001,Phase 2,P1
OBJ-TRACEABILITY,FR-TRC-001,US-TRC-001,TC-TRC-001,Phase 3,P0
OBJ-GOVERNANCE,FR-GOV-001,US-GOV-001,TC-GOV-001,Phase 3,P0
OBJ-GOVERNANCE,FR-GOV-002,US-GOV-002,TC-GOV-002,Phase 3,P1
